reviewText
"Заказал 5 видов хомутов АВА по 10 штук. несколько раз переносили доставку, через 3 недели наконец то приехали. 1 упаковка вскрыта 2 хомутов всего 15 штук вместо 46 штук. 3 оформление возврата еще та процедура, все сфотографировать расписать а потом ждите. Не советую"
"Купили смартфон дочериПосмотрела не понравился ей, што делать.Оформляю возврат куча фотографий, всё в сохранности в пленке, думаю проблем не должно быть.Но ошибся, отказ (отклонена азон), пишу снова почему как же так, но бездушный робот пишет сам виноват.Вердикт такой это обычные барыги, деньги главное, покупатель лох, максимально закрылись от покупателя, шансов бороться за правду ноль, только через суд."
"Заказала газонокосилку. Срок доставки январь 2024. Но. 4 декабря пришло сообщение, что заказ отменен, потому что мне не смогли его вручить. Сообщение о том, что товар доставлен в пункт выдачи, озон не присылал. Техподдержка Озона в виде бота и консультанта Кристины как-бы не видит проблемы. А причина простая. Я заплатила 27 тысяч, а сегодня эта же газонокосилка стоит 54 тысячи. На каком этапе исчез мой предоплаченный заказ не узнать, отзыв тоже не оставить."
"Крайне редко пишу отзывы на что-либо, но в случае озона молчать просто невозможно. Скажу прямо: заказываю там я не так часто. Всё из-за того, что +- год назад мне начали переносить сроки доставки. Изначально обещали доставить за 3-4 дня, потом дважды(!!) переносили срок ещё на столько же. Я ещё мог бы понять, если бы это было в какой-нибудь разгар праздников, но нет, это была середина ноября. Естественно, ждать так долго мне вообще не хотелось, поэтому пришлось отменять заказ и заказывать на ВБ. Они доставили за 2 дня. После этого редко, но заказывал на Озоне разные товары, которых не было на ВБ, доставка снова была долгая. Только ОДИН товар из всех заказанных за тот период мне пришёл быстро - за 3 дня, остальные доставлялись минимум неделю, что, как по мне - перебор. Опять же, в сравнении с тем же ВБ, где мне всё доставляли за 3-4 дня с очень редкими исключениями. 

И вот, в октябре мне понадобилось заказать товар из Китая. В Озоне была довольно приятная цена. Всё оформил и стал ждать. 9 октября ночью был сделан заказ, отслеживал ежедневно. Товар очень быстро прошел таможню и покинул Китай, и так же быстро он прилетел в Уссурийск. Около суток его держали на таможне в Уссурийске и отправили непосредственно в Москву. Ах да, служба доставки значилась как CEL Express. Честно говоря, я думал, что в Москву ехать он будет не меньше недели, всё же расстояние 9тыс. километров, но меня приятно удивили. Через 3 дня он уже был в Москве, после чего его отправили в Пушкино. От Москвы до Пушкино товар шёл около суток. Очень долго, учитывая такое ничтожное расстояние, но в целом понимаемо, мой товар не один, наверное, разгружали и загружали. Самое веселье начинается именно в Пушкино. По факту - это последний пункт, где вы можете отслеживать свой товар. Последний статус отслеживания будет гласить: ""Прибыла в промежуточный пункт МО_ТСЦ_ПУШКИНО_НОВЫЙ"". После этого статус изменится только когда вещь будет уже в пункте выдачи, так что да. Вы не узнаете, отсортировали ли ваш товар, отправили ли, где он едет. Забудьте. Когда покупка пребывает в Пушкино, вам присылают сообщение в приложении Озона и пишут, в какое число доставят. В моём случае, это было 25 октября, а в Пушкино товар прибыл 17 числа. Кстати, эта дата в сообщении НЕ совпадает с датой, указанной в разделе заказов, ибо в заказах мне обещали доставить минимум в начале ноября. В целом, доставили мне даже раньше обозначенного срока - 22 октября. В целом, очень неплохо, хотя опять же, неизвестность после прибытия в Пушкино убивает. Но самый ужас, побудивший меня написать отзыв, случился, когда я решил заказать снова товар из Китая. В этот раз это был довольно небольшой товар по габаритам. Описывать снова путь из Китая до Москвы я не буду, там всё так же, в том числе и по срокам, но скажу, что на таможне товар провёл гораздо больше времени. Самое веселье как обычно началось в Пушкино. Как я и говорил, с этого момента отслеживание по факту прекращается. 24 ноября товар прибыл в Пушкино, мне прислали сообщение, что доставят 1 декабря, но я, имея уже опыт, предполагал, что доставят пораньше, числа 28-29. Но увы и ах. Мне всё ещё не доставили мою покупку. Прошло уже 10 дней. Очевидно, срок доставки, который мне прислали в сообщении, они уже прошляпили, и уже начали просрачивать даже срок, указанный в разделе заказов. Извините, но из Китая до Пушкино суммарно товар ехал меньше, чем от Пушкино едет до меня. Это ещё с учётом того, что таможня длилась 3 суток. То есть +-10 тыс. километров они могут за 9 дней пройти, а 900 километров уже 10 дней преодолеть не в состоянии!? Премерзкое чувство из-за этой ситуации. Однозначно больше не буду пользоваться Озоном. Если захочется что-то заказать из Китая, то уж лучше это сделать на Али, там и то быстрее. Отвратительно, Озон. Просто ужасно. За одну только доставку 4 звезды снимаю, хотя снял бы сразу 5. Настолько крупная компания, а организовать адекватную службу доставки не в состоянии. Браво"
"Ненавижу их, сплошной дискомфорт от взаимодействия, оплатил заказ, собрали и несколько дней в доставку передать не могут, поддержка одно название"
"21.11 2023 г. Заказали на ОЗОН пусковое устройство для автомобиля ПЗУ 0.8 -3.6 Калибр. Оплатили сразу. Продавец-магазин KuzMaxTools не осуществил доставку в обещаный срок. После жалобы на странице поддержки ОЗОН продавец назначил новую дату доставки-03.12.2023г. но даже и в этот срок поставка не состоялась и отложена на неопределенный срок. Из-за безответственного отношения к клиентам продавца и ОЗОНа наше малое предприятие несет убытки превышающие стоимость ожидаемого прибора, а кроме того репутационный ущерб. Наша техника выходит на линию с опозданием, а продавец лишь 05.12.2023 соблаговолит сообщить о новой дате доставки. Ребята не связывайтесь с этой конторой, люди там безответственные и безсовестные. Покупайте у нормальных людей и будет вам счастье."
"Говорят спустя как деньги списали, уже через час заказ якобы был получен. Мошенники!Итак ночью было совершенно более 15 операций"
"Довольно часто пользуюсь интернет-магазином ozon, большой выбор товаров в каждой категории. Очень удобно, что есть раздел ozon express и курьерская доставка ко времени, либо в течение часа. Продукты всегда свежие, сроки годности хорошие. В общем впечатление положительное, за исключением последнего заказа, когда курьер нахамил. Обычно курьер звонит за 10-15 минут, что он приедет. В день заказа нужно было срочно отъехать по делам ненадолго. Я рассчитывала, что курьер как обычно позвонит и предупредит, что он уже в пути и за это время я успею приехать, однако курьер позвонил мне когда находился около двери со словами: ""Я стою около двери, забирайте заказ, если вы дома, если нет я не буду вас ждать, у меня нет времени, я отменяю заказ"".

 Я всегда вхожу в положение курьера, если он задерживается в виду каких-то обстоятельств. В общем достаточно лояльно отношусь. Было достаточно неприятно, так как я понимаю, что временной промежуток указан и доставка вовремя, но и так разговаривать непозволительно, ведь сами курьеры иногда приезжают намного позже временного промежутка(доставку задерживали более 2 часов)."
Заказал товар написано было что доставка пять дней. Но по сути доставку переносили три раза и товар пришел на неделю дольше
